Name;Symbol;RIC;Start Date;Hist.;Category;Exchange;Market;Currency;Sector;Full Name;Activity
VALE ON;BR:VA3;VALE3.SA;18/10/1994;1994;Equities;Sao Paulo;Brazil;Brazilian Real;Industrial Metals and Mining;Vale On;Active
AMBEV ON;BR:AVS;ABEV3.SA;21/09/1999;1999;Equities;Sao Paulo;Brazil;Brazilian Real;Beverages;Ambev On;Active
WEG ON;BR:WG3;WEGE3.SA;08/05/1998;1998;Equities;Sao Paulo;Brazil;Brazilian Real;Industrial Engineering;WEG On;Active
JBS ON;BR:JBS;JBSS3.SA;29/03/2007;2007;Equities;Sao Paulo;Brazil;Brazilian Real;Food Producers;JBS On;Active
TELEFONICA BRASIL ON;BR:TEE;VIVT3.SA;23/09/1998;1998;Equities;Sao Paulo;Brazil;Brazilian Real;Fixed Line Telecommunications;Telefonica Brasil On;Active
LOCALIZA RENT A CAR ON;BR:LOC;RENT3.SA;23/05/2005;2005;Equities;Sao Paulo;Brazil;Brazilian Real;-;Localiza Rent A Car On;Active
SUZANO ON;BR:SUZ;SUZB3.SA;10/11/2017;2017;Equities;Sao Paulo;Brazil;Brazilian Real;Forestry and Paper;Suzano On;Active
AMERICANAS ON;BR:B2W;AMER3.SA;30/03/2005;2005;Equities;Sao Paulo;Brazil;Brazilian Real;General Retailers;Americanas On;Active
AREZZO INDUSTRIA E ON;BR:ARZ;ARZZ3.SA;02/02/2011;2011;Equities;Sao Paulo;Brazil;Brazilian Real;Personal Goods;Arezzo Industria E On;Active
ATACADAO DISTRIBUICAO;BR:CRF;CRFB3.SA;20/07/2017;2017;Equities;Sao Paulo;Brazil;Brazilian Real;Food and Drug Retailers;Atacadao Distribuicao;Active
BR MALLS PARTICIPACOES ON;BR:BRM;BRML3.SA;05/04/2007;2007;Equities;Sao Paulo;Brazil;Brazilian Real;Real Estate Investment and Services;Bearer Malls Participacoes On;Active
BR PROPERTIES ON;BR:BPR;BRPR3.SA;08/03/2010;2010;Equities;Sao Paulo;Brazil;Brazilian Real;Real Estate Investment and Services;Bearer Properties On;Active
BRASKEM PN SERIES 'A';BR:KM5;BRKM5.SA;09/01/1990;1990;Equities;Sao Paulo;Brazil;Brazilian Real;Chemicals;Braskem PN Series 'A';Active
BRF BRASIL FOODS ON;BR:DG3;BRFS3.SA;05/07/1994;1994;Equities;Sao Paulo;Brazil;Brazilian Real;Food Producers;BRF Brasil Foods On;Active
CAMIL ALIMENTOS;BR:CML;CAML3.SA;28/09/2017;2017;Equities;Sao Paulo;Brazil;Brazilian Real;Food Producers;Camil Alimentos;Active
CIA ENERGETICA DE MINAS GERAIS PN;BR:GP4;CMIG4.SA;10/11/1993;1993;Equities;Sao Paulo;Brazil;Brazilian Real;Electricity;CIA Energetica de Minas Gerais PN;Active
CIA PARANAENSE DE ENERGIA COPEL PN;BR:CP6;CPLE6.SA;17/01/1997;1997;Equities;Sao Paulo;Brazil;Brazilian Real;Electricity;CIA Paranaense de Energia Copel PN;Active
CIA SANEAMENTO PN;BR:SAS;SAPR4.SA;03/05/2002;2002;Equities;Sao Paulo;Brazil;Brazilian Real;Gas, Water and Multiutilities;CIA Saneamento PN;Active
CMPBRA.DE DISTB.ON;BR:AR3;PCAR3.SA;29/04/1996;1996;Equities;Sao Paulo;Brazil;Brazilian Real;Food and Drug Retailers;Cmpbra de Distribuicao On;Active
CMPH.COCS. RODOVIARIAS ON;BR:CCR;CCRO3.SA;04/02/2002;2002;Equities;Sao Paulo;Brazil;Brazilian Real;Industrial Transportation;Companhia Cocs Rodoviarias On;Active
COGNA EDUCACAO ON;BR:KRO;COGN3.SA;23/07/2007;2007;Equities;Sao Paulo;Brazil;Brazilian Real;-;Cogna Educacao On;Active
COMPANHIA SIDERURGICA NACIONAL ON;BR:DN3;CSNA3.SA;02/08/1993;1993;Equities;Sao Paulo;Brazil;Brazilian Real;Industrial Metals and Mining;Companhia Siderurgica Nacional On;Active
COSAN INDUSTRIA E COMERCIO ON;BR:COS;CSAN3.SA;18/11/2005;2005;Equities;Sao Paulo;Brazil;Brazilian Real;-;Cosan Industria E Comercio On;Active
CPAD.SANMT.BASICO DE SAOP.ON;BR:SAB;SBSP3.SA;04/06/1997;1997;Equities;Sao Paulo;Brazil;Brazilian Real;Gas, Water and Multiutilities;Cpad Saneamento Basico de Sao Paulo On;Active
