EmpCode;ICC_GLS;ICC_CT;ICC_OJ;ICC_E;RIC;ESG_Score;Median;Group
BR:AL4;0,0819478153097312;0,219092075852635;0,165423592514387;0,0870202212361281;ALPA4.SA;19,6196415992756;45,8810186112607;Baixo
BR:LH3;0,193664519687663;0,45482026695704;0,280961127792307;0,178908203342017;LIGT3.SA;65,1230710270921;45,8810186112607;Alto
BR:KM5;0,0363001877109162;0,194860526829558;0,0945881651063439;0,0410296853085852;BRKM5.SA;53,0181015760298;45,8810186112607;Alto
BR:LV3;0,0521447580781778;0,149062912290417;0,144146360885048;0,0876520620869313;LEVE3.SA;28,400365990573;45,8810186112607;Baixo
BR:EL6;0,149865179329605;0,378773857846352;0,276474157225201;0,20909842618851;ELET6.SA;59,6378983347934;45,8810186112607;Alto
BR:DG3;0,0409533107996329;0,138101948842875;0,130252866621831;0,0626128631348207;BRFS3.SA;73,5692430710718;45,8810186112607;Alto
BR:POB;0,211593668907002;0,639171989640017;0,175249639361031;0,0808011483310636;PETR4.SA;72,0860249506576;45,8810186112607;Alto
BR:ODO;0,0182907233644968;0,10564905143686;0,110194784703401;0,0770794597756103;ODPV3.SA;24,3310100581971;45,8810186112607;Baixo
BR:WG3;0,032947560812266;0,119819321812867;0,112993537347866;0,0714736497968662;WEGE3.SA;40,5515932149756;45,8810186112607;Baixo
BR:TU3;0,102586144105205;0,247278371227775;0,179646297860977;0,110780314245345;TUPY3.SA;27,0158683592116;45,8810186112607;Baixo
BR:SLC;0,138171560863315;0,352516477432472;0,237369225271997;0,16149118118686;SLCE3.SA;30,507903533035;45,8810186112607;Baixo
BR:SAT;0,101592570759761;0,226274852005787;0,156775718786514;0,128483208396169;DXCO3.SA;72,9932025041272;45,8810186112607;Alto
BR:RL4;0,119114237784543;0,28634486680567;0,217063214227649;0,132168842763647;POMO4.SA;36,9345716014442;45,8810186112607;Baixo
BR:LE3;0,0345671438354933;0,132209194965853;0,103803201760907;0,060675856837986;LREN3.SA;79,8551489647113;45,8810186112607;Alto
BR:RAN;0,13856039501309;0,367135871769956;0,231580974653598;0,188669946927257;RAPT4.SA;50,5065086823447;45,8810186112607;Alto
BR:CP6;0,21328561466935;0,538332904072483;0,267377526763493;0,137153856363985;CPLE6.SA;72,1453042770322;45,8810186112607;Alto
BR:MY3;0,178532738200371;0,421759053691173;0,163911029671111;0,112153262173378;MYPK3.SA;16,9917177132714;45,8810186112607;Baixo
BR:AR3;0,365464818661094;0,92383229506049;0,376438166857079;0,176500326715993;PCAR3.SA;70,6122124574479;45,8810186112607;Alto
BR:CPL;0,0629683107617226;0,170746635454963;0,168247718789887;0,125366648371098;CPFE3.SA;71,3451625357554;45,8810186112607;Alto
BR:EST;0,0970325514963151;0,249142041115085;0,143887754410609;0,0689292975238016;YDUQ3.SA;46,8911319142316;45,8810186112607;Alto
